l2,epochs,roc_auc,ap_score,f1_class_0,f1_class_1,avg_f1_score,precision_0,recall_0,precision_1,recall_1
0.03851,3,0.954517206458103,0.9588121803641274,0.9086651053864169,0.9122017109410175,0.9104334081637172,0.9273422562141491,0.8907254361799817,0.8948763250883393,0.9302112029384757
0.03851,4,0.9451708840639469,0.9510251060302016,0.8659190638712823,0.8806941431670282,0.8733066035191552,0.9230769230769231,0.8154269972451791,0.834703947368421,0.9320477502295684
0.03852,3,0.9098919742546089,0.9341304762976363,0.8886021505376344,0.8724766125061546,0.8805393815218945,0.8357605177993528,0.9485766758494031,0.940552016985138,0.8135904499540864
0.03852,4,0.9167372868850454,0.9353087547616072,0.8731928954977282,0.841343669250646,0.8572682823741871,0.7935435435435435,0.970615243342516,0.9621749408983451,0.7474747474747475
0.03853,3,0.939342502578165,0.9406952028533696,0.8280773143438453,0.8585774058577406,0.8433273601007929,0.928164196123147,0.7474747474747475,0.7886241352805534,0.9421487603305785
0.03853,4,0.932413710525406,0.9453407062438055,0.9006050129645635,0.8873653281096964,0.89398517053713,0.8506122448979592,0.9568411386593205,0.950682056663169,0.8319559228650137
0.03854,3,0.9465014954621767,0.9467476368960429,0.8529698149951315,0.8688097306689835,0.8608897728320575,0.9077720207253887,0.8044077134986226,0.8244023083264633,0.9182736455463728
0.03854,4,0.9425492929124284,0.9572512836066055,0.8914386584289496,0.8822966507177034,0.8868676545733265,0.8581138487680544,0.9274563820018366,0.9210789210789211,0.8466483011937558
0.03855,3,0.9427693750258238,0.95289112179341,0.8866171003717472,0.8892921960072595,0.8879546481895033,0.8974600188146754,0.8760330578512396,0.8789237668161435,0.8999081726354453
0.03855,4,0.9305577690250869,0.9381609282715564,0.8927789934354485,0.8816996619990343,0.8872393277172415,0.8528428093645485,0.9366391184573003,0.929735234215886,0.8383838383838383
